,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
365,366,209,17.19019,8.7894,0.4414,-3.16512,-3.72034,0.87035,25.8469,-2.96774,17.7788,0.9136,1648.3,79970.55,78322.25,1670
366,367,976,38.78022,140.7666,0.3848,-3.81257,-3.93205,1.08235,0.94834,-2.67638,18.4458,0.6112,5639.07,108305.88,102666.81,5889
367,368,853,2.23687,61.8399,0.3766,-3.66169,-2.68858,1.23777,0.11459,-2.58488,18.0743,0.5704,5778.85,181180.82,175401.97,5889
368,369,627,53.69131,10.6938,0.2244,-1.57311,-4.19277,0.49889,1.35134,-2.47698,18.6139,0.9578,1733.05,4123.29,2390.24,1805
369,370,1438,0.94417,33.9444,0.0613,-3.56552,-3.65035,1.67418,0.01683,-2.84952,19.4584,0.6483,3239.71,13815.23,10575.52,3314
370,371,2468,3.56121,63.5314,0.064,-3.08227,-3.35392,0.54307,0.81705,-2.53007,19.0896,0.8811,5770.57,291231.81,285461.24,5889
371,372,2078,61.95456,13.6819,0.2237,-1.62508,-3.57331,0.19945,0.15455,-2.38954,18.4931,0.5334,1287.75,19546.26,18258.51,1304
372,373,2101,45.38484,15.9323,0.148,-3.34535,-4.21145,1.08727,0.00662,-3.04629,21.286,0.4185,2826.09,29221.54,26395.45,3027
373,374,236,36.71486,79.8077,0.0228,-4.16071,-3.16738,1.04527,0.02706,-2.68152,19.2219,0.3911,5695.41,202412.47,196717.06,5889
374,375,1539,28.45892,35.9203,0.0126,-2.93808,-4.52978,6.72146,0.00558,-2.67648,18.7635,0.188,5869.24,32189.89,26320.65,5889
375,376,2087,2.51275,79.6045,0.1669,-3.33207,-4.4141,1.3577,0.36478,-2.84524,21.1244,0.7225,5510.32,20913.03,15402.71,5889
376,377,437,57.90103,20.4002,0.3293,-4.00011,-3.43269,0.79586,0.01169,-3.04499,20.1106,0.5058,2295.41,60162.23,57866.82,2328
377,378,470,43.29095,4.1627,0.0092,-3.33286,-4.40069,2.72927,4.1416,-2.35015,20.3127,0.9029,796.76,1012.31,215.55,791
378,379,531,1.21866,24.924,0.046,-3.83604,-4.77708,0.8878,0.67657,-3.25321,21.8896,0.0904,2359.84,3221.67,861.83,2483
